,Airport,R0_VH_mean,R0_HV_mean,R0_HV_lower_CI,R0_HV_upper_CI,R0_HV_sd,seeds,Asian_countries,City,sd_seeds
1,AMD,0.486727885,2.86E-33,1.92E-33,3.81E-33,4.87E-34,1.04,India,Ahmedabad,0.1525
2,BKK,1.688803212,0.237106999,0.158507012,0.315268944,0.040442011,2.2,Thailand,Bangkok,0.325
3,HKG,0.522919805,8.07E-33,5.37E-33,1.08E-32,1.39E-33,3.09,Hong Kong,Hong Kong,0.4575
4,JED,0.666321403,1.80E-31,1.20E-31,2.40E-31,3.05E-32,5.58,Saudi Arabia,Jeddah,0.7075
5,KUL,1.837221219,0.4126102,0.273875722,0.551446795,0.070576502,1.6,Malaysia,Kuala Lumpur,0.2175
6,MNL,1.849701226,0.442355323,0.293642529,0.588207289,0.074728755,1.73,Philippines,Manila,0.26
7,MED,0.506234172,5.07E-33,3.36E-33,6.76E-33,8.63E-34,1.04,Saudi Arabia,Medina,0.16
8,BOM,0.777030088,1.28E-30,8.36E-31,1.70E-30,2.20E-31,6.99,India,Mumbai,0.995
9,MCT,0.863471668,3.91E-30,2.61E-30,5.19E-30,6.62E-31,1.9,Oman,Muscat,0.2875
10,DEL,0.151417499,4.40E-40,2.96E-40,5.88E-40,7.44E-41,3.59,India,New Delhi,0.5225
11,SIN,2.03511326,0.655075061,0.432567099,0.872231992,0.111772591,0.77,Singapore,Singapore,0.1225
