,Airport,R0_VH_mean,R0_HV_mean,R0_HV_lower_CI,R0_HV_upper_CI,R0_HV_sd,seeds,Asian_countries,City,sd_seeds
1,AMD,2.351359064,1.092972501,0.730164243,1.459654864,0.186928472,1.04,India,Ahmedabad,0.1525
2,BKK,2.55818713,1.322939931,0.887574316,1.768375195,0.22398892,2.2,Thailand,Bangkok,0.325
3,HKG,1.816090364,0.397589785,0.261681208,0.530981976,0.068182188,3.09,Hong Kong,Hong Kong,0.4575
4,JED,2.518110986,0.097166895,0.064669205,0.129595747,0.016646868,5.58,Saudi Arabia,Jeddah,0.7075
5,KUL,2.490162681,1.191907223,0.797863923,1.589520815,0.20112173,1.6,Malaysia,Kuala Lumpur,0.2175
6,MNL,2.559186972,1.318149378,0.876408024,1.756393146,0.226390306,1.73,Philippines,Manila,0.26
7,MED,2.448505623,0.09042412,0.060272073,0.120545334,0.0154797,1.04,Saudi Arabia,Medina,0.16
8,BOM,2.487004522,1.265046834,0.839473756,1.687515211,0.217998685,6.99,India,Mumbai,0.995
9,MCT,2.364257812,0.146456752,0.097447386,0.194542217,0.025008108,1.9,Oman,Muscat,0.2875
10,DEL,2.198338721,0.904683139,0.607221231,1.200168609,0.151924897,3.59,India,New Delhi,0.5225
11,SIN,2.530692651,1.242435662,0.822083634,1.661246302,0.213520167,0.77,Singapore,Singapore,0.1225
